technology,materials_ita,materials_eng
SLA,ABS-Like​Resin Black,ABS-Like​Resin Black
SLA,ABS-Like Resin translucent,ABS-Like Resin translucent
SLA,ABS-Like​MicroFine™ Green,ABS-Like​MicroFine™ Green
DMLS,Acciaio inox 316L,STAINLESS STEEL 316L
DMLS,Acciaio Maraging 1.2709,MARAGING STEEL 1.2709​
DMLS,Alluminio AlSi10Mg,ALUMINUM Alsi10mg​
DMLS,Rame,Copper
DMLS,Cromo Cobalto CoCr F75,Cobalt Chrome CoCr F75
PolyJet​,Fotopolimero translucido/trasparente,Translucent/transparent photopolymer​
PolyJet​,Fotopolimero bianco,White Photopolymer​
PolyJet​,Fotopolimero nero,Black Photopolymer​
PolyJet​,Fotopolimero Simil-Silicone (60-65%),Silicone-Like Photopolymer (60-65%)
DMLS,Inconel 718,Inconel 718
SLS,PA12 Bianco PA12 White,PA12 Bianco PA12 White
SLS,PA12 Bianco Vapour smooth,PA12 White Vapour Smooth
SLS,PA Grigio,PA Grey
SLS,PA Grigio Vapour Smooth,PA Grey Vapour Smooth
MJF,PA12 GB Grigio,PA12 GB Grey
SLS,PA12-Carbon Filled Nero,PA12-Carbon Filled Black
SLS,PA12 Flex Nero Pure,PA12 Flex Black Pure
MJF,PA12 Grigio,PA12 Grey
MJF,PA11 Grigio,PA11 Grey
MJF,PA11 Nero Vapour smooth,PA11 Black Vapour smooth
SLA,PA 12 Vapour Smooth,PA 12 Vapour Smooth
SLA,Resina simil PC Translucido High Temp,High Temp Translucent PC-like resin
SLA,Resina simil ceramica high temp,High temp Ceramic-Like Resin
SLA,Resina simil ABS Grigio,ABS-Like​Grey Resin
SLA,Resina simil ABS Bianco​,ABS-Like​ White Resin
DMLS,Titanio Ti-6Al-4V,Titanium Ti-6Al-4V
SLS,TPU-88A Nero pure,TPU-88A Black pure
MJF,Ultrasint™ TPU01-88A Grigio,Ultrasint™ TPU01-88A Grey
MJF,Ultrasint™ TPU01-88A Nero Vapour smooth,Ultrasint™ TPU01-88A Black Vapour smooth
FDM,Nylon 12 Fibra di Carbonio,Nylon 12 Carbon Fiber 
FDM,Nylon 12 Fibra di Kevlar,Nylon 12 Kevlar Fiber 
FDM,ASA,ASA
FDM,PC-ESD,PC-ESD
FDM,PA6,PA7
FDM,ULTEM 1010,ULTEM 1011
FDM,ULTEM 9085,ULTEM 9086
FDM,ABS-M30i,ABS-M30i
FDM,PC-ABS,PC-ABS
FDM,PA12,PA13
FDM,DIRAN 410MF07,DIRAN 410MF08
FDM,POLICARBONATO,POLYCARBONATE
FDM,PC-ISO,PC-ISO
FDM,TPU 92A,TPU 92A
FDM,ABS CARBON FIBER ,ABS CARBON FIBER 
DLS,EPX82 CARBON,EPX82 CARBON
DLS,EPX82 FLAME RETARDANT CARBON,EPX82 FLAME RETARDANT CARBON
DLS,EPX150 CARBON,EPX150 CARBON
DLS,RPU70 CARBON,RPU70 CARBON
DLS,RPU130 CARBON,RPU130 CARBON
DLS,LOCTITE 3843 MATTE BLACK CARBON,LOCTITE 3843 MATTE BLACK CARBON
DLS,LOCTITE IND147 BLACK CARBON,LOCTITE IND147 BLACK CARBON
DLS,LOCTITE IND405 CLEAR CARBON,LOCTITE IND405 CLEAR CARBON
DLS,UMA 90 CARBON,UMA 90 CARBON
DLS,EPU40 CARBON,EPU40 CARBON
DLS,EPU41 CARBON,EPU41 CARBON
DLS,EPU43 CARBON,EPU43 CARBON
DLS,EPU44 CARBON,EPU44 CARBON
DLS,EPU45 CARBON,EPU45 CARBON
DLS,EPU46 CARBON,EPU46 CARBON
DLS,RESINA DENTALE CARBON,DENTAL RESIN CARBON
FDM,PEEK,PEEK
FDM,CARBON PEEK,CARBON PEEK
FDM,PEKK,PEKK
FDM,TOOLING X CARBON FIBER,TOOLING X CARBON FIBER
FDM,BIO-BASED PA – NYLON BASE BIO,BIO-BASED PA – NYLON BASE BIO
FDM,MATRIX,MATRIX
FDM,HYPERMELT TECH,HYPERMELT TECH
FDM,POLIPROPILENE,POLYPROPYLENE
SLA,RESINA CAST,CAST RESIN
SLA,RESINA BLACK V5,BLACK RESIN V5
SLA,RESINA CLEAR V5,CLEAR RESIN V5
SLA,RESINA PRECISION,PRECISION RESIN
SLA,RESINA WHITE,WHITE RESIN
SLA,RESINA COLOR BASE,COLOR BASE RESIN
SLA,RESINA GREY,GREY RESIN
SLA,RESINA ALUMINA,ALUMINA RESIN
SLA,RESINA DURABLE,DURABLE RESIN
SLA,RESINA ELASTIC 50A,ELASTIC 50A RESIN
SLA,RESINA ESD,ESD RESIN
SLA,RESINA FLAME RETARDANT,FLAME RETARDANT RESIN
SLA,RESINA FLEXIBLE 80A,FLEXIBLE 80A RESIN
SLA,RESINA GREY PRO,GREY PRO RESIN
SLA,RESINA HIGH TEMP,HIGH TEMP RESIN
SLA,RESINA TOUGH,TOUGH RESIN
SLA,RESINE DENTAL,DENTAL RESINS
BINDER JETTING,ACCIAIO INOX 17-4 PH,STAINLESS STEEL 17-4 PH
BINDER JETTING,ACCIAIO INOX 304L,STAINLESS STEEL 304L
BINDER JETTING,ACCIAIO INOX 316L,STAINLESS STEEL 316L
BINDER JETTING,CROMOCOBALTO,COBALT CHROME
BINDER JETTING,RAME,COPPER
BINDER JETTING,TITANO Ti64,TITANIUM Ti64
BINDER JETTING,CERAMICA ALUMINA,ALUMINA CERAMIC
FDM,PET-G,PET-G
FDM,MATERIALI CUSTOM,CUSTOM MATERIALS
LARGE FDM,PELLET PLASTICO,POLYMER PELLET
